StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,39,engine temperature,wiper on,gps on gte 1,h0v0,13,easy,H,M,E,WHAT_Qn,55.6,54.79,65,-1,251,H,WHAT_Qn_H_E,H_E,1,180.408,39,16.6,51,3.79,27,38,Agree,0,2,2,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,2,suspension force,wiper on,fuel consumption gte 35.72,h0v0,7,medium,H,H,M,WHAT_Qn,37.75,38.57,45.52,-1,342,H,WHAT_Qn_H_M,H_M,2,71.17,60,-22.25,45,-6.43,38,7.52,Neither agree nor disagree,0,2,2,3
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,20,electricity consumption,radio on,fuel consumption gte 35.72,h0v0,3,hard,M,H,H,WHAT_Qn,29.63,42.53,12.95,1,429,M,WHAT_Qn_M_H,M_H,3,153.304,61,-31.37,39,3.53,45,-32.05,Disagree,0,2,3,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,31,electricity consumption,gps on,engine temperature gte 55.93,h0v0,4,easy,M,H,E,WHAT_Ql,67.85,64.68,74.77,-1,276,H,WHAT_Ql_H_E,H_E,4,172.695,6,61.85,48,16.68,23,51.77,Agree,0,3,3,3
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,47,suspension force,wiper on,engine temperature gte 67.27,h0v0,6,medium,M,M,H,WHAT_Ql,45.45,35.44,47.55,-1,374,M,WHAT_Ql_M_M,M_M,5,50.188,1,44.45,36,-0.56,15,32.55,Disagree,1,3,4,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,12,suspension force,gps on,fuel consumption gte 35.72,h0v0,1,hard,H,M,H,WHAT_Ql,59.1,63.69,88.77,-1,458,M,WHAT_Ql_M_H,M_H,5,47.832,24,35.1,74,-10.31,43,45.77,Disagree,1,3,4,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,34,suspension force,gps on,engine temperature gte 55.88,h0v0,4,easy,E,H,H,WHERE,52.66,52.66,10,-1,318,H,WHERE_H_E,H_E,2,94.87,38,14.66,57,-4.34,56,-46,Agree,0,3,3,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,33,engine temperature,gps on,fuel consumption gte 35.72,h0v0,7,medium,H,H,E,WHERE,14.76,14.76,10,-1,387,E,WHERE_E_M,E_M,2,53.751,13,1.76,27,-12.24,17,-7,Neither agree nor disagree,0,2,2,2
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,12,suspension force,gps on,fuel consumption gte 35.72,h0v0,1,hard,H,M,H,WHERE,61.25,50.37,15.61,1,485,H,WHERE_H_H,H_H,1,196.555,20,41.25,14,36.37,44,-28.39,Agree,1,3,3,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,25,fuel consumption,gps on,gps on gte 1,h0v0,13,easy,H,M,E,WHAT_Qn,59,54.79,65,-1,251,H,WHAT_Qn_H_E,H_E,1,180.408,39,20,51,3.79,27,38,Agree,0,2,2,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,24,suspension force,wiper on,fuel consumption gte 35.72,h0v0,7,medium,H,H,M,WHAT_Qn,33,38.57,45.52,-1,342,H,WHAT_Qn_H_M,H_M,2,71.17,60,-16,45,-6.43,38,7.52,Neither agree nor disagree,0,2,2,3
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,11,electricity consumption,radio on,fuel consumption gte 35.72,h0v0,3,hard,M,H,H,WHAT_Qn,22,42.53,12.95,1,429,M,WHAT_Qn_M_H,M_H,3,153.304,61,-20,39,3.53,45,-32.05,Disagree,0,2,3,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,6,electricity consumption,gps on,radio on gte 1,h0v0,4,easy,M,H,E,WHAT_Ql,66,64.68,74.77,-1,276,H,WHAT_Ql_H_E,H_E,4,172.695,6,65,48,16.68,23,51.77,Agree,0,3,3,3
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,7,engine temperature,radio on,engine temperature gte 67.27,h0v0,6,medium,M,M,H,WHAT_Ql,41,35.44,47.55,-1,374,M,WHAT_Ql_M_M,M_M,5,50.188,1,48,36,-0.56,15,32.55,Disagree,1,3,4,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,9,suspension force,radio on,fuel consumption gte 35.72,h0v0,1,hard,H,M,H,WHAT_Ql,65,63.69,88.77,-1,458,M,WHAT_Ql_M_H,M_H,5,47.832,24,38,74,-10.31,43,45.77,Disagree,1,3,4,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,1,electricity consumption,gps on,engine temperature gte 55.88,h0v0,4,easy,E,H,H,WHERE,59,52.66,10,-1,318,H,WHERE_H_E,H_E,2,94.87,38,17,57,-4.34,56,-46,Agree,0,3,3,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,3,electricity consumption,gps on,fuel consumption gte 35.72,h0v0,7,medium,H,H,E,WHERE,18,14.76,10,-1,387,E,WHERE_E_M,E_M,2,53.751,13,4,27,-12.24,17,-7,Neither agree nor disagree,0,2,2,2
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,59,suspension force,gps on,fuel consumption gte 35.72,h0v0,1,hard,H,M,H,WHERE,63,50.37,15.61,1,485,H,WHERE_H_H,H_H,1,196.555,20,44,14,36.37,44,-28.39,Agree,1,3,3,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,39,engine temperature,wiper on,gps on gte 1,h0v0,13,easy,H,M,E,WHAT_Qn,55.6,54.79,65,-1,251,H,WHAT_Qn_H_E,H_E,1,180.408,39,18,51,3.79,27,38,Agree,0,2,2,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,2,suspension force,wiper on,fuel consumption gte 35.72,h0v0,7,medium,H,H,M,WHAT_Qn,37.75,38.57,45.52,-1,342,H,WHAT_Qn_H_M,H_M,2,71.17,60,-33,45,-6.43,38,7.52,Neither agree nor disagree,0,2,2,3
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,20,electricity consumption,radio on,fuel consumption gte 35.72,h0v0,3,hard,M,H,H,WHAT_Qn,29.63,42.53,12.95,1,429,M,WHAT_Qn_M_H,M_H,3,153.304,61,-29,39,3.53,45,-32.05,Disagree,0,2,3,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,31,electricity consumption,gps on,engine temperature gte 55.93,h0v0,4,easy,M,H,E,WHAT_Ql,67.85,64.68,74.77,-1,276,H,WHAT_Ql_H_E,H_E,4,172.695,6,68,48,16.68,23,51.77,Agree,0,3,3,3
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,47,suspension force,wiper on,engine temperature gte 67.27,h0v0,6,medium,M,M,H,WHAT_Ql,45.45,35.44,47.55,-1,374,M,WHAT_Ql_M_M,M_M,5,50.188,1,41,36,-0.56,15,32.55,Disagree,1,3,4,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,12,suspension force,gps on,fuel consumption gte 35.72,h0v0,1,hard,H,M,H,WHAT_Ql,59.1,63.69,88.77,-1,458,M,WHAT_Ql_M_H,M_H,5,47.832,24,38,74,-10.31,43,45.77,Disagree,1,3,4,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,34,suspension force,gps on,engine temperature gte 55.88,h0v0,4,easy,E,H,H,WHERE,52.66,52.66,10,-1,318,H,WHERE_H_E,H_E,2,94.87,38,18,57,-4.34,56,-46,Agree,0,3,3,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,33,engine temperature,gps on,fuel consumption gte 35.72,h0v0,7,medium,H,H,E,WHERE,14.76,14.76,10,-1,387,E,WHERE_E_M,E_M,2,53.751,13,3.8,27,-12.24,17,-7,Neither agree nor disagree,0,2,2,2
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,12,suspension force,gps on,fuel consumption gte 35.72,h0v0,1,hard,H,M,H,WHERE,61.25,50.37,15.61,1,485,H,WHERE_H_H,H_H,1,196.555,20,13,14,36.37,44,-28.39,Agree,1,3,3,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,25,fuel consumption,gps on,gps on gte 1,h0v0,13,easy,H,M,E,WHAT_Qn,59,54.79,65,-1,251,H,WHAT_Qn_H_E,H_E,1,180.408,39,18,51,3.79,27,38,Agree,0,2,2,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,24,suspension force,wiper on,fuel consumption gte 35.72,h0v0,7,medium,H,H,M,WHAT_Qn,33,38.57,45.52,-1,342,H,WHAT_Qn_H_M,H_M,2,71.17,60,-25,45,-6.43,38,7.52,Neither agree nor disagree,0,2,2,3
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,11,electricity consumption,radio on,fuel consumption gte 35.72,h0v0,3,hard,M,H,H,WHAT_Qn,22,42.53,12.95,1,429,M,WHAT_Qn_M_H,M_H,3,153.304,61,-37,39,3.53,45,-32.05,Disagree,0,2,3,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,6,electricity consumption,gps on,radio on gte 1,h0v0,4,easy,M,H,E,WHAT_Ql,66,64.68,74.77,-1,276,H,WHAT_Ql_H_E,H_E,4,172.695,6,64,48,16.68,23,51.77,Agree,0,3,3,3
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,7,engine temperature,radio on,engine temperature gte 67.27,h0v0,6,medium,M,M,H,WHAT_Ql,41,35.44,47.55,-1,374,M,WHAT_Ql_M_M,M_M,5,50.188,1,46,36,-0.56,15,32.55,Disagree,1,3,4,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,9,suspension force,radio on,fuel consumption gte 35.72,h0v0,1,hard,H,M,H,WHAT_Ql,65,63.69,88.77,-1,458,M,WHAT_Ql_M_H,M_H,5,47.832,24,31,74,-10.31,43,45.77,Disagree,1,3,4,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,1,electricity consumption,gps on,engine temperature gte 55.88,h0v0,4,easy,E,H,H,WHERE,59,52.66,10,-1,318,H,WHERE_H_E,H_E,2,94.87,38,11,57,-4.34,56,-46,Agree,0,3,3,4
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,3,electricity consumption,gps on,fuel consumption gte 35.72,h0v0,7,medium,H,H,E,WHERE,18,14.76,10,-1,387,E,WHERE_E_M,E_M,2,53.751,13,0.9,27,-12.24,17,-7,Neither agree nor disagree,0,2,2,2
30/07/2021 03:35,30/07/2021 03:52,IP Address,138.40.67.214,100,1062,True,30/07/2021 03:52,R_Uin9Ep0ezBesqAN,51.52690125,-0.099105835,anonymous,EN,59,suspension force,gps on,fuel consumption gte 35.72,h0v0,1,hard,H,M,H,WHERE,63,50.37,15.61,1,485,H,WHERE_H_H,H_H,1,196.555,20,43,14,36.37,44,-28.39,Agree,1,3,3,4
